away_team,home_team,start_date,venue,attendance,season,week,season_type,conference_game,home_division,home_points,home_pregame_elo,home_postgame_elo,away_division,away_conference,away_points,away_pregame_elo,away_postgame_elo,excitement_index,home_conference
Louisiana,James Madison,2025-10-11,Bridgeforth Stadium,25128,2025,,,,,,,,,,,,,,Sun Belt
UCF,Cincinnati,2025-10-11,Nippert Stadium,35782,2025,,,,,,,,,,,,,,Big 12
Charlotte,Army,2025-10-11,Michie Stadium,31172,2025,,,,,,,,,,,,,,American Athletic
Ohio St.,Illinois,2025-10-11,Gies Memorial Stadium,60670,2025,,,,,,,,,,,,,,Big Ten
Houston,Oklahoma State,2025-10-11,Boone Pickens Stadium,44941,2025,,,,,,,,,,,,,,Big 12
Pittsburgh,Florida State,2025-10-11,Bobby Bowden Field at Doak Campbell Stadium,65256,2025,,,,,,,,,,,,,,ACC
Miami (OH),Akron,2025-10-11,InfoCision Stadium,6575,2025,,,,,,,,,,,,,,Mid-American
Stanford,SMU,2025-10-11,Gerald J. Ford Stadium,30654,2025,,,,,,,,,,,,,,ACC
Alabama,Missouri,2025-10-11,Memorial Stadium,57321,2025,,,,,,,,,,,,,,SEC
Toledo,Bowling Green,2025-10-11,Doyt L. Perry Stadium,24000,2025,,,,,,,,,,,,,,Mid-American
UCLA,Michigan State,2025-10-11,Spartan Stadium,72109,2025,,,,,,,,,,,,,,Big Ten
Washington St.,Ole Miss,2025-10-11,Vaught-Hemingway Stadium,66392,2025,,,,,,,,,,,,,,SEC
NIU,Eastern Michigan,2025-10-11,Rynearson Stadium,15676,2025,,,,,,,,,,,,,,Mid-American
Massachusetts,Kent State,2025-10-11,Dix Stadium,11523,2025,,,,,,,,,,,,,,Mid-American
NC State,Notre Dame,2025-10-11,Notre Dame Stadium,77622,2025,,,,,,,,,,,,,,FBS Independents
Ball St.,Western Michigan,2025-10-11,Waldo Stadium,20032,2025,,,,,,,,,,,,,,Mid-American
Virginia Tech,Georgia Tech,2025-10-11,Bobby Dodd Stadium,50878,2025,,,,,,,,,,,,,,ACC
Oklahoma,Texas,2025-10-11,Cotton Bowl,92100,2025,,,,,,,,,,,,,,SEC
TCU,Kansas State,2025-10-11,Bill Snyder Family Stadium,51316,2025,,,,,,,,,,,,,,Big 12
Iowa St.,Colorado,2025-10-11,Folsom Field,52698,2025,,,,,,,,,,,,,,Big 12
Wake Forest,Oregon State,2025-10-11,Reser Stadium,29710,2025,,,,,,,,,,,,,,Pac-12
Indiana,Oregon,2025-10-11,Autzen Stadium,59625,2025,,,,,,,,,,,,,,Big Ten
Air Force,UNLV,2025-10-11,Allegiant Stadium,32932,2025,,,,,,,,,,,,,,Mountain West
App State,Georgia State,2025-10-11,Center Parc Stadium,19587,2025,,,,,,,,,,,,,,Sun Belt
Northwestern,Penn State,2025-10-11,Beaver Stadium,108121,2025,,,,,,,,,,,,,,Big Ten
Old Dominion,Marshall,2025-10-11,Joan C. Edwards Stadium,23515,2025,,,,,,,,,,,,,,Sun Belt
Nebraska,Maryland,2025-10-11,SECU Stadium,39623,2025,,,,,,,,,,,,,,Big Ten
Navy,Temple,2025-10-11,Lincoln Financial Field,26149,2025,,,,,,,,,,,,,,American Athletic
Arkansas,Tennessee,2025-10-11,Neyland Stadium,101915,2025,,,,,,,,,,,,,,SEC
UAB,Florida Atlantic,2025-10-11,FAU Stadium,20052,2025,,,,,,,,,,,,,,American Athletic
Iowa,Wisconsin,2025-10-11,Camp Randall Stadium,76064,2025,,,,,,,,,,,,,,Big Ten
San Jose St.,Wyoming,2025-10-11,War Memorial Stadium,20970,2025,,,,,,,,,,,,,,Mountain West
ULM,Coastal Carolina,2025-10-11,Brooks Stadium,15211,2025,,,,,,,,,,,,,,Sun Belt
Florida,Texas A&M,2025-10-11,Kyle Field,105086,2025,,,,,,,,,,,,,,SEC
Michigan,USC,2025-10-11,Los Angeles Memorial Coliseum,75500,2025,,,,,,,,,,,,,,Big Ten
Purdue,Minnesota,2025-10-11,Huntington Bank Stadium,49254,2025,,,,,,,,,,,,,,Big Ten
Clemson,Boston College,2025-10-11,Alumni Stadium,42265,2025,,,,,,,,,,,,,,ACC
Rice,UTSA,2025-10-11,Alamodome,22058,2025,,,,,,,,,,,,,,American Athletic
Georgia,Auburn,2025-10-11,Jordan-Hare Stadium,88043,2025,,,,,,,,,,,,,,SEC
Kansas,Texas Tech,2025-10-11,Jones AT&T Stadium,60229,2025,,,,,,,,,,,,,,Big 12
South Carolina,LSU,2025-10-11,Tiger Stadium,101921,2025,,,,,,,,,,,,,,SEC
Troy,Texas State,2025-10-11,Bobcat Stadium,24369,2025,,,,,,,,,,,,,,Sun Belt
BYU,Arizona,2025-10-11,Arizona Stadium,47960,2025,,,,,,,,,,,,,,Big 12
New Mexico,Boise State,2025-10-11,Albertsons Stadium,32982,2025,,,,,,,,,,,,,,Mountain West
Arizona St.,Utah,2025-10-11,Rice-Eccles Stadium,51444,2025,,,,,,,,,,,,,,Big 12
San Diego St.,Nevada,2025-10-11,Mackay Stadium,19473,2025,,,,,,,,,,,,,,Mountain West
Utah St.,Hawai'i,2025-10-12,Clarence T.C. Ching Athletics Complex,13023,2025,,,,,,,,,,,,,,Mountain West
South Fla.,North Texas,2025-10-10,DATCU Stadium,31386,2025,,,,,,,,,,,,,,American Athletic
Fresno St.,Colorado State,2025-10-10,Canvas Stadium,27874,2025,,,,,,,,,,,,,,Mountain West
Rutgers,Washington,2025-10-10,Husky Stadium,63743,2025,,,,,,,,,,,,,,Big Ten
Louisiana Tech,Kennesaw State,2025-10-09,Fifth Third Stadium,9585,2025,,,,,,,,,,,,,,Conference USA
East Carolina,Tulane,2025-10-09,Yulman Stadium,20035,2025,,,,,,,,,,,,,,American Athletic
Southern Miss.,Georgia Southern,2025-10-09,Allen E. Paulson Stadium,20032,2025,,,,,,,,,,,,,,Sun Belt
Jacksonville St.,Sam Houston,2025-10-09,Shell Energy Stadium,5419,2025,,,,,,,,,,,,,,Conference USA
Missouri St.,Middle Tennessee,2025-10-08,"SJohnny ""Red"" Floyd Stadium",9806,2025,,,,,,,,,,,,,,Conference USA
Liberty,UTEP,2025-10-08,Sun Bowl,9286,2025,,,,,,,,,,,,,,Conference USA
Clemson,North Carolina,2025-10-04,Kenan Stadium,50500,2025,,,,,,,,,,,,,,ACC
Iowa St.,Cincinnati,2025-10-04,Nippert Stadium,38007,2025,,,,,,,,,,,,,,Big 12
Boston College,Pittsburgh,2025-10-04,Acrisure Stadium,51101,2025,,,,,,,,,,,,,,ACC
Air Force,Navy,2025-10-04,Navy-Marine Corps Memorial Stadium,37517,2025,,,,,,,,,,,,,,American Athletic
Illinois,Purdue,2025-10-04,Ross-Ade Stadium,56551,2025,,,,,,,,,,,,,,Big Ten
Wisconsin,Michigan,2025-10-04,Michigan Stadium,111070,2025,,,,,,,,,,,,,,Big Ten
Kansas St.,Baylor,2025-10-04,McLane Stadium,35596,2025,,,,,,,,,,,,,,Big 12
Army West Point,UAB,2025-10-04,Protective Stadium,22489,2025,,,,,,,,,,,,,,American Athletic
Kentucky,Georgia,2025-10-04,Sanford Stadium,93033,2025,,,,,,,,,,,,,,SEC
Ohio,Ball State,2025-10-04,Scheumann Stadium,8427,2025,,,,,,,,,,,,,,Mid-American
Wake Forest,Virginia Tech,2025-10-04,Lane Stadium,65632,2025,,,,,,,,,,,,,,ACC
UTSA,Temple,2025-10-04,Lincoln Financial Field,12132,2025,,,,,,,,,,,,,,American Athletic
Oklahoma St.,Arizona,2025-10-04,Arizona Stadium,40685,2025,,,,,,,,,,,,,,Big 12
Campbell,NC State,2025-10-04,Carter-Finley Stadium,56919,2025,,,,,,,,,,,,,,ACC
Western Mich.,Massachusetts,2025-10-04,McGuirk Alumni Stadium,10014,2025,,,,,,,,,,,,,,FBS Independents
Washington,Maryland,2025-10-04,SECU Stadium,46185,2025,,,,,,,,,,,,,,Big Ten
Boise St.,Notre Dame,2025-10-04,Notre Dame Stadium,77622,2025,,,,,,,,,,,,,,FBS Independents
Central Mich.,Akron,2025-10-04,InfoCision Stadium,8995,2025,,,,,,,,,,,,,,Mid-American
Texas,Florida,2025-10-04,Ben Hill Griffin Stadium,90714,2025,,,,,,,,,,,,,,SEC
James Madison,Georgia State,2025-10-04,Center Parc Stadium,19256,2025,,,,,,,,,,,,,,Sun Belt
Oregon St.,App State,2025-10-04,Kidd Brewer Stadium,35021,2025,,,,,,,,,,,,,,Sun Belt
Vanderbilt,Alabama,2025-10-04,Bryant-Denny Stadium,100077,2025,,,,,,,,,,,,,,SEC
ULM,Northwestern,2025-10-04,Northwestern Medicine Field at Martin Stadium,12023,2025,,,,,,,,,,,,,,Big Ten
Miami (OH),Northern Illinois,2025-10-04,Huskie Stadium,13827,2025,,,,,,,,,,,,,,Mid-American
Syracuse,SMU,2025-10-04,Gerald J. Ford Stadium,34845,2025,,,,,,,,,,,,,,ACC
Penn St.,UCLA,2025-10-04,Rose Bowl,39256,2025,,,,,,,,,,,,,,Big Ten
FIU,UConn,2025-10-04,Pratt & Whitney Stadium at Rentschler Field,27310,2025,,,,,,,,,,,,,,FBS Independents
Eastern Mich.,Buffalo,2025-10-04,UB Stadium,17300,2025,,,,,,,,,,,,,,Mid-American
Virginia,Louisville,2025-10-04,L&N Federal Credit Union Stadium,50032,2025,,,,,,,,,,,,,,ACC
Michigan St.,Nebraska,2025-10-04,Memorial Stadium,86496,2025,,,,,,,,,,,,,,Big Ten
Texas St.,Arkansas State,2025-10-04,Centennial Bank Stadium,15841,2025,,,,,,,,,,,,,,Sun Belt
Kent St.,Oklahoma,2025-10-04,Memorial Stadium,83016,2025,,,,,,,,,,,,,,SEC
Coastal Carolina,Old Dominion,2025-10-04,S.B. Ballard Stadium,20895,2025,,,,,,,,,,,,,,Sun Belt
Texas Tech,Houston,2025-10-04,TDECU Stadium,42806,2025,,,,,,,,,,,,,,Big 12
UNLV,Wyoming,2025-10-04,War Memorial Stadium,19861,2025,,,,,,,,,,,,,,Mountain West
Fla. Atlantic,Rice,2025-10-04,Rice Stadium,22999,2025,,,,,,,,,,,,,,American Athletic
South Alabama,Troy,2025-10-04,Veterans Memorial Stadium,28035,2025,,,,,,,,,,,,,,Sun Belt
Miami (FL),Florida State,2025-10-04,Bobby Bowden Field at Doak Campbell Stadium,67277,2025,,,,,,,,,,,,,,ACC
Mississippi St.,Texas A&M,2025-10-04,Kyle Field,108572,2025,,,,,,,,,,,,,,SEC
